,PassengerId,Survived,Name,Age,SibSp,Parch,Ticket,Fare,is-Pclass-1,is-Pclass-2,is-Sex-male,is-Embarked-S,is-Embarked-C,family_size
53,54,1,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",29.0,1,0,2926,26.0,0,1,0,1,0,1
54,55,0,"Ostby, Mr. Engelhart Cornelius",65.0,0,1,113509,61.9792,1,0,1,0,1,1
56,57,1,"Rugg, Miss. Emily",21.0,0,0,C.A. 31026,10.5,0,1,0,1,0,0
57,58,0,"Novel, Mr. Mansouer",28.5,0,0,2697,7.2292,0,0,1,0,1,0
58,59,1,"West, Miss. Constance Mirium",5.0,1,2,C.A. 34651,27.75,0,1,0,1,0,3
59,60,0,"Goodwin, Master. William Frederick",11.0,5,2,CA 2144,46.9,0,0,1,1,0,7
60,61,0,"Sirayanian, Mr. Orsen",22.0,0,0,2669,7.2292,0,0,1,0,1,0
63,64,0,"Skoog, Master. Harald",4.0,3,2,347088,27.9,0,0,1,1,0,5
66,67,1,"Nye, Mrs. (Elizabeth Ramell)",29.0,0,0,C.A. 29395,10.5,0,1,0,1,0,0
67,68,0,"Crease, Mr. Ernest James",19.0,0,0,S.P. 3464,8.1583,0,0,1,1,0,0
68,69,1,"Andersson, Miss. Erna Alexandra",17.0,4,2,3101281,7.925,0,0,0,1,0,6
69,70,0,"Kink, Mr. Vincenz",26.0,2,0,315151,8.6625,0,0,1,1,0,2
70,71,0,"Jenkin, Mr. Stephen Curnow",32.0,0,0,C.A. 33111,10.5,0,1,1,1,0,0
71,72,0,"Goodwin, Miss. Lillian Amy",16.0,5,2,CA 2144,46.9,0,0,0,1,0,7
73,74,0,"Chronopoulos, Mr. Apostolos",26.0,1,0,2680,14.4542,0,0,1,0,1,1
74,75,1,"Bing, Mr. Lee",32.0,0,0,1601,56.4958,0,0,1,1,0,0
75,76,0,"Moen, Mr. Sigurd Hansen",25.0,0,0,348123,7.65,0,0,1,1,0,0
78,79,1,"Caldwell, Master. Alden Gates",0.83,0,2,248738,29.0,0,1,1,1,0,2
79,80,1,"Dowdell, Miss. Elizabeth",30.0,0,0,364516,12.475,0,0,0,1,0,0
80,81,0,"Waelens, Mr. Achille",22.0,0,0,345767,9.0,0,0,1,1,0,0
81,82,1,"Sheerlinck, Mr. Jan Baptist",29.0,0,0,345779,9.5,0,0,1,1,0,0
83,84,0,"Carrau, Mr. Francisco M",28.0,0,0,113059,47.1,1,0,1,1,0,0
84,85,1,"Ilett, Miss. Bertha",17.0,0,0,SO/C 14885,10.5,0,1,0,1,0,0
85,86,1,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",33.0,3,0,3101278,15.85,0,0,0,1,0,3
86,87,0,"Ford, Mr. William Neal",16.0,1,3,W./C. 6608,34.375,0,0,1,1,0,4
89,90,0,"Celotti, Mr. Francesco",24.0,0,0,343275,8.05,0,0,1,1,0,0
90,91,0,"Christmann, Mr. Emil",29.0,0,0,343276,8.05,0,0,1,1,0,0
91,92,0,"Andreasson, Mr. Paul Edvin",20.0,0,0,347466,7.8542,0,0,1,1,0,0
92,93,0,"Chaffee, Mr. Herbert Fuller",46.0,1,0,W.E.P. 5734,61.175,1,0,1,1,0,1
93,94,0,"Dean, Mr. Bertram Frank",26.0,1,2,C.A. 2315,20.575,0,0,1,1,0,3
94,95,0,"Coxon, Mr. Daniel",59.0,0,0,364500,7.25,0,0,1,1,0,0
96,97,0,"Goldschmidt, Mr. George B",71.0,0,0,PC 17754,34.6542,1,0,1,0,1,0
97,98,1,"Greenfield, Mr. William Bertram",23.0,0,1,PC 17759,63.3583,1,0,1,0,1,1
98,99,1,"Doling, Mrs. John T (Ada Julia Bone)",34.0,0,1,231919,23.0,0,1,0,1,0,1
99,100,0,"Kantor, Mr. Sinai",34.0,1,0,244367,26.0,0,1,1,1,0,1
100,101,0,"Petranec, Miss. Matilda",28.0,0,0,349245,7.8958,0,0,0,1,0,0
103,104,0,"Johansson, Mr. Gustaf Joel",33.0,0,0,7540,8.6542,0,0,1,1,0,0
104,105,0,"Gustafsson, Mr. Anders Vilhelm",37.0,2,0,3101276,7.925,0,0,1,1,0,2
105,106,0,"Mionoff, Mr. Stoytcho",28.0,0,0,349207,7.8958,0,0,1,1,0,0
106,107,1,"Salkjelsvik, Miss. Anna Kristine",21.0,0,0,343120,7.65,0,0,0,1,0,0
108,109,0,"Rekic, Mr. Tido",38.0,0,0,349249,7.8958,0,0,1,1,0,0
110,111,0,"Porter, Mr. Walter Chamberlain",47.0,0,0,110465,52.0,1,0,1,1,0,0
111,112,0,"Zabour, Miss. Hileni",14.5,1,0,2665,14.4542,0,0,0,0,1,1
112,113,0,"Barton, Mr. David John",22.0,0,0,324669,8.05,0,0,1,1,0,0
113,114,0,"Jussila, Miss. Katriina",20.0,1,0,4136,9.825,0,0,0,1,0,1
114,115,0,"Attalah, Miss. Malake",17.0,0,0,2627,14.4583,0,0,0,0,1,0
115,116,0,"Pekoniemi, Mr. Edvard",21.0,0,0,STON/O 2. 3101294,7.925,0,0,1,1,0,0
116,117,0,"Connors, Mr. Patrick",70.5,0,0,370369,7.75,0,0,1,0,0,0
117,118,0,"Turpin, Mr. William John Robert",29.0,1,0,11668,21.0,0,1,1,1,0,1
119,120,0,"Andersson, Miss. Ellis Anna Maria",2.0,4,2,347082,31.275,0,0,0,1,0,6
122,123,0,"Nasser, Mr. Nicholas",32.5,1,0,237736,30.0708,0,1,1,0,1,1
123,124,1,"Webber, Miss. Susan",32.5,0,0,27267,13.0,0,1,0,1,0,0
125,126,1,"Nicola-Yarred, Master. Elias",12.0,1,0,2651,11.2417,0,0,1,0,1,1
127,128,1,"Madsen, Mr. Fridtjof Arne",24.0,0,0,C 17369,7.1417,0,0,1,1,0,0
129,130,0,"Ekstrom, Mr. Johan",45.0,0,0,347061,6.975,0,0,1,1,0,0
130,131,0,"Drazenoic, Mr. Jozef",33.0,0,0,349241,7.8958,0,0,1,0,1,0
131,132,0,"Coelho, Mr. Domingos Fernandeo",20.0,0,0,SOTON/O.Q. 3101307,7.05,0,0,1,1,0,0
132,133,0,"Robins, Mrs. Alexander A (Grace Charity Laury)",47.0,1,0,A/5. 3337,14.5,0,0,0,1,0,1
133,134,1,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",29.0,1,0,228414,26.0,0,1,0,1,0,1
134,135,0,"Sobey, Mr. Samuel James Hayden",25.0,0,0,C.A. 29178,13.0,0,1,1,1,0,0
135,136,0,"Richard, Mr. Emile",23.0,0,0,SC/PARIS 2133,15.0458,0,1,1,0,1,0
136,137,1,"Newsom, Miss. Helen Monypeny",19.0,0,2,11752,26.2833,1,0,0,1,0,2
137,138,0,"Futrelle, Mr. Jacques Heath",37.0,1,0,113803,53.1,1,0,1,1,0,1
138,139,0,"Osen, Mr. Olaf Elon",16.0,0,0,7534,9.2167,0,0,1,1,0,0
141,142,1,"Nysten, Miss. Anna Sofia",22.0,0,0,347081,7.75,0,0,0,1,0,0
142,143,1,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",24.0,1,0,STON/O2. 3101279,15.85,0,0,0,1,0,1
143,144,0,"Burke, Mr. Jeremiah",19.0,0,0,365222,6.75,0,0,1,0,0,0
144,145,0,"Andrew, Mr. Edgardo Samuel",18.0,0,0,231945,11.5,0,1,1,1,0,0
145,146,0,"Nicholls, Mr. Joseph Charles",19.0,1,1,C.A. 33112,36.75,0,1,1,1,0,2
146,147,1,"Andersson, Mr. August Edvard (""Wennerstrom"")",27.0,0,0,350043,7.7958,0,0,1,1,0,0
147,148,0,"Ford, Miss. Robina Maggie ""Ruby""",9.0,2,2,W./C. 6608,34.375,0,0,0,1,0,4
148,149,0,"Navratil, Mr. Michel (""Louis M Hoffman"")",36.5,0,2,230080,26.0,0,1,1,1,0,2
149,150,0,"Byles, Rev. Thomas Roussel Davids",42.0,0,0,244310,13.0,0,1,1,1,0,0
150,151,0,"Bateman, Rev. Robert James",51.0,0,0,S.O.P. 1166,12.525,0,1,1,1,0,0
152,153,0,"Meo, Mr. Alfonzo",55.5,0,0,A.5. 11206,8.05,0,0,1,1,0,0
153,154,0,"van Billiard, Mr. Austin Blyler",40.5,0,2,A/5. 851,14.5,0,0,1,1,0,2
155,156,0,"Williams, Mr. Charles Duane",51.0,0,1,PC 17597,61.3792,1,0,1,0,1,1
156,157,1,"Gilnagh, Miss. Katherine ""Katie""",16.0,0,0,35851,7.7333,0,0,0,0,0,0
157,158,0,"Corn, Mr. Harry",30.0,0,0,SOTON/OQ 392090,8.05,0,0,1,1,0,0
160,161,0,"Cribb, Mr. John Hatfield",44.0,0,1,371362,16.1,0,0,1,1,0,1
161,162,1,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",40.0,0,0,C.A. 33595,15.75,0,1,0,1,0,0
162,163,0,"Bengtsson, Mr. John Viktor",26.0,0,0,347068,7.775,0,0,1,1,0,0
163,164,0,"Calic, Mr. Jovo",17.0,0,0,315093,8.6625,0,0,1,1,0,0
164,165,0,"Panula, Master. Eino Viljami",1.0,4,1,3101295,39.6875,0,0,1,1,0,5
165,166,1,"Goldsmith, Master. Frank John William ""Frankie""",9.0,0,2,363291,20.525,0,0,1,1,0,2
167,168,0,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",45.0,1,4,347088,27.9,0,0,0,1,0,5
169,170,0,"Ling, Mr. Lee",28.0,0,0,1601,56.4958,0,0,1,1,0,0
170,171,0,"Van der hoef, Mr. Wyckoff",61.0,0,0,111240,33.5,1,0,1,1,0,0
171,172,0,"Rice, Master. Arthur",4.0,4,1,382652,29.125,0,0,1,0,0,5
172,173,1,"Johnson, Miss. Eleanor Ileen",1.0,1,1,347742,11.1333,0,0,0,1,0,2
173,174,0,"Sivola, Mr. Antti Wilhelm",21.0,0,0,STON/O 2. 3101280,7.925,0,0,1,1,0,0
174,175,0,"Smith, Mr. James Clinch",56.0,0,0,17764,30.6958,1,0,1,0,1,0
175,176,0,"Klasen, Mr. Klas Albin",18.0,1,1,350404,7.8542,0,0,1,1,0,2
177,178,0,"Isham, Miss. Ann Elizabeth",50.0,0,0,PC 17595,28.7125,1,0,0,0,1,0
178,179,0,"Hale, Mr. Reginald",30.0,0,0,250653,13.0,0,1,1,1,0,0
179,180,0,"Leonard, Mr. Lionel",36.0,0,0,LINE,0.0,0,0,1,1,0,0
182,183,0,"Asplund, Master. Clarence Gustaf Hugo",9.0,4,2,347077,31.3875,0,0,1,1,0,6
183,184,1,"Becker, Master. Richard F",1.0,2,1,230136,39.0,0,1,1,1,0,3
184,185,1,"Kink-Heilmann, Miss. Luise Gretchen",4.0,0,2,315153,22.025,0,0,0,1,0,2
187,188,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",45.0,0,0,111428,26.55,1,0,1,1,0,0
188,189,0,"Bourke, Mr. John",40.0,1,1,364849,15.5,0,0,1,0,0,2
189,190,0,"Turcin, Mr. Stjepan",36.0,0,0,349247,7.8958,0,0,1,1,0,0
190,191,1,"Pinsky, Mrs. (Rosa)",32.0,0,0,234604,13.0,0,1,0,1,0,0
191,192,0,"Carbines, Mr. William",19.0,0,0,28424,13.0,0,1,1,1,0,0
192,193,1,"Andersen-Jensen, Miss. Carla Christine Nielsine",19.0,1,0,350046,7.8542,0,0,0,1,0,1
193,194,1,"Navratil, Master. Michel M",3.0,1,1,230080,26.0,0,1,1,1,0,2
194,195,1,"Brown, Mrs. James Joseph (Margaret Tobin)",44.0,0,0,PC 17610,27.7208,1,0,0,0,1,0
197,198,0,"Olsen, Mr. Karl Siegwart Andreas",42.0,0,1,4579,8.4042,0,0,1,1,0,1
199,200,0,"Yrois, Miss. Henriette (""Mrs Harbeck"")",24.0,0,0,248747,13.0,0,1,0,1,0,0
200,201,0,"Vande Walle, Mr. Nestor Cyriel",28.0,0,0,345770,9.5,0,0,1,1,0,0
202,203,0,"Johanson, Mr. Jakob Alfred",34.0,0,0,3101264,6.4958,0,0,1,1,0,0
203,204,0,"Youseff, Mr. Gerious",45.5,0,0,2628,7.225,0,0,1,0,1,0
204,205,1,"Cohen, Mr. Gurshon ""Gus""",18.0,0,0,A/5 3540,8.05,0,0,1,1,0,0
205,206,0,"Strom, Miss. Telma Matilda",2.0,0,1,347054,10.4625,0,0,0,1,0,1
206,207,0,"Backstrom, Mr. Karl Alfred",32.0,1,0,3101278,15.85,0,0,1,1,0,1
207,208,1,"Albimona, Mr. Nassef Cassem",26.0,0,0,2699,18.7875,0,0,1,0,1,0
208,209,1,"Carr, Miss. Helen ""Ellen""",16.0,0,0,367231,7.75,0,0,0,0,0,0
209,210,1,"Blank, Mr. Henry",40.0,0,0,112277,31.0,1,0,1,0,1,0
210,211,0,"Ali, Mr. Ahmed",24.0,0,0,SOTON/O.Q. 3101311,7.05,0,0,1,1,0,0
211,212,1,"Cameron, Miss. Clear Annie",35.0,0,0,F.C.C. 13528,21.0,0,1,0,1,0,0
212,213,0,"Perkin, Mr. John Henry",22.0,0,0,A/5 21174,7.25,0,0,1,1,0,0
213,214,0,"Givard, Mr. Hans Kristensen",30.0,0,0,250646,13.0,0,1,1,1,0,0
216,217,1,"Honkanen, Miss. Eliina",27.0,0,0,STON/O2. 3101283,7.925,0,0,0,1,0,0
217,218,0,"Jacobsohn, Mr. Sidney Samuel",42.0,1,0,243847,27.0,0,1,1,1,0,1
219,220,0,"Harris, Mr. Walter",30.0,0,0,W/C 14208,10.5,0,1,1,1,0,0
220,221,1,"Sunderland, Mr. Victor Francis",16.0,0,0,SOTON/OQ 392089,8.05,0,0,1,1,0,0
221,222,0,"Bracken, Mr. James H",27.0,0,0,220367,13.0,0,1,1,1,0,0
222,223,0,"Green, Mr. George Henry",51.0,0,0,21440,8.05,0,0,1,1,0,0
225,226,0,"Berglund, Mr. Karl Ivar Sven",22.0,0,0,PP 4348,9.35,0,0,1,1,0,0
226,227,1,"Mellors, Mr. William John",19.0,0,0,SW/PP 751,10.5,0,1,1,1,0,0
227,228,0,"Lovell, Mr. John Hall (""Henry"")",20.5,0,0,A/5 21173,7.25,0,0,1,1,0,0
228,229,0,"Fahlstrom, Mr. Arne Jonas",18.0,0,0,236171,13.0,0,1,1,1,0,0
231,232,0,"Larsson, Mr. Bengt Edvin",29.0,0,0,347067,7.775,0,0,1,1,0,0
232,233,0,"Sjostedt, Mr. Ernst Adolf",59.0,0,0,237442,13.5,0,1,1,1,0,0
233,234,1,"Asplund, Miss. Lillian Gertrud",5.0,4,2,347077,31.3875,0,0,0,1,0,6
234,235,0,"Leyson, Mr. Robert William Norman",24.0,0,0,C.A. 29566,10.5,0,1,1,1,0,0
236,237,0,"Hold, Mr. Stephen",44.0,1,0,26707,26.0,0,1,1,1,0,1
237,238,1,"Collyer, Miss. Marjorie ""Lottie""",8.0,0,2,C.A. 31921,26.25,0,1,0,1,0,2
238,239,0,"Pengelly, Mr. Frederick William",19.0,0,0,28665,10.5,0,1,1,1,0,0
239,240,0,"Hunt, Mr. George Henry",33.0,0,0,SCO/W 1585,12.275,0,1,1,1,0,0
242,243,0,"Coleridge, Mr. Reginald Charles",29.0,0,0,W./C. 14263,10.5,0,1,1,1,0,0
243,244,0,"Maenpaa, Mr. Matti Alexanteri",22.0,0,0,STON/O 2. 3101275,7.125,0,0,1,1,0,0
244,245,0,"Attalah, Mr. Sleiman",30.0,0,0,2694,7.225,0,0,1,0,1,0
246,247,0,"Lindahl, Miss. Agda Thorilda Viktoria",25.0,0,0,347071,7.775,0,0,0,1,0,0
247,248,1,"Hamalainen, Mrs. William (Anna)",24.0,0,2,250649,14.5,0,1,0,1,0,2
248,249,1,"Beckwith, Mr. Richard Leonard",37.0,1,1,11751,52.5542,1,0,1,1,0,2
249,250,0,"Carter, Rev. Ernest Courtenay",54.0,1,0,244252,26.0,0,1,1,1,0,1
251,252,0,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",29.0,1,1,347054,10.4625,0,0,0,1,0,2
252,253,0,"Stead, Mr. William Thomas",62.0,0,0,113514,26.55,1,0,1,1,0,0
253,254,0,"Lobb, Mr. William Arthur",30.0,1,0,A/5. 3336,16.1,0,0,1,1,0,1
254,255,0,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",41.0,0,2,370129,20.2125,0,0,0,1,0,2
255,256,1,"Touma, Mrs. Darwis (Hanne Youssef Razi)",29.0,0,2,2650,15.2458,0,0,0,0,1,2
259,260,1,"Parrish, Mrs. (Lutie Davis)",50.0,0,1,230433,26.0,0,1,0,1,0,1
261,262,1,"Asplund, Master. Edvin Rojj Felix",3.0,4,2,347077,31.3875,0,0,1,1,0,6
263,264,0,"Harrison, Mr. William",40.0,0,0,112059,0.0,1,0,1,1,0,0
265,266,0,"Reeves, Mr. David",36.0,0,0,C.A. 17248,10.5,0,1,1,1,0,0
266,267,0,"Panula, Mr. Ernesti Arvid",16.0,4,1,3101295,39.6875,0,0,1,1,0,5
267,268,1,"Persson, Mr. Ernst Ulrik",25.0,1,0,347083,7.775,0,0,1,1,0,1
271,272,1,"Tornquist, Mr. William Henry",25.0,0,0,LINE,0.0,0,0,1,1,0,0
272,273,1,"Mellinger, Mrs. (Elizabeth Anne Maidment)",41.0,0,1,250644,19.5,0,1,0,1,0,1
273,274,0,"Natsch, Mr. Charles H",37.0,0,1,PC 17596,29.7,1,0,1,0,1,1
276,277,0,"Lindblom, Miss. Augusta Charlotta",45.0,0,0,347073,7.75,0,0,0,1,0,0
278,279,0,"Rice, Master. Eric",7.0,4,1,382652,29.125,0,0,1,0,0,5
279,280,1,"Abbott, Mrs. Stanton (Rosa Hunt)",35.0,1,1,C.A. 2673,20.25,0,0,0,1,0,2
280,281,0,"Duane, Mr. Frank",65.0,0,0,336439,7.75,0,0,1,0,0,0
281,282,0,"Olsson, Mr. Nils Johan Goransson",28.0,0,0,347464,7.8542,0,0,1,1,0,0
282,283,0,"de Pelsmaeker, Mr. Alfons",16.0,0,0,345778,9.5,0,0,1,1,0,0
283,284,1,"Dorking, Mr. Edward Arthur",19.0,0,0,A/5. 10482,8.05,0,0,1,1,0,0
285,286,0,"Stankovic, Mr. Ivan",33.0,0,0,349239,8.6625,0,0,1,0,1,0
286,287,1,"de Mulder, Mr. Theodore",30.0,0,0,345774,9.5,0,0,1,1,0,0
287,288,0,"Naidenoff, Mr. Penko",22.0,0,0,349206,7.8958,0,0,1,1,0,0
288,289,1,"Hosono, Mr. Masabumi",42.0,0,0,237798,13.0,0,1,1,1,0,0
289,290,1,"Connolly, Miss. Kate",22.0,0,0,370373,7.75,0,0,0,0,0,0
292,293,0,"Levy, Mr. Rene Jacques",36.0,0,0,SC/Paris 2163,12.875,0,1,1,0,1,0
293,294,0,"Haas, Miss. Aloisia",24.0,0,0,349236,8.85,0,0,0,1,0,0
294,295,0,"Mineff, Mr. Ivan",24.0,0,0,349233,7.8958,0,0,1,1,0,0
296,297,0,"Hanna, Mr. Mansour",23.5,0,0,2693,7.2292,0,0,1,0,1,0
302,303,0,"Johnson, Mr. William Cahoone Jr",19.0,0,0,LINE,0.0,0,0,1,1,0,0
308,309,0,"Abelson, Mr. Samuel",30.0,1,0,P/PP 3381,24.0,0,1,1,0,1,1
309,310,1,"Francatelli, Miss. Laura Mabel",30.0,0,0,PC 17485,56.9292,1,0,0,0,1,0
312,313,0,"Lahtinen, Mrs. William (Anna Sylfven)",26.0,1,1,250651,26.0,0,1,0,1,0,2
313,314,0,"Hendekovic, Mr. Ignjac",28.0,0,0,349243,7.8958,0,0,1,1,0,0
314,315,0,"Hart, Mr. Benjamin",43.0,1,1,F.C.C. 13529,26.25,0,1,1,1,0,2
315,316,1,"Nilsson, Miss. Helmina Josefina",26.0,0,0,347470,7.8542,0,0,0,1,0,0
316,317,1,"Kantor, Mrs. Sinai (Miriam Sternin)",24.0,1,0,244367,26.0,0,1,0,1,0,1
317,318,0,"Moraweck, Dr. Ernest",54.0,0,0,29011,14.0,0,1,1,1,0,0
320,321,0,"Dennis, Mr. Samuel",22.0,0,0,A/5 21172,7.25,0,0,1,1,0,0
321,322,0,"Danoff, Mr. Yoto",27.0,0,0,349219,7.8958,0,0,1,1,0,0
322,323,1,"Slayter, Miss. Hilda Mary",30.0,0,0,234818,12.35,0,1,0,0,0,0
323,324,1,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",22.0,1,1,248738,29.0,0,1,0,1,0,2
326,327,0,"Nysveen, Mr. Johan Hansen",61.0,0,0,345364,6.2375,0,0,1,1,0,0
327,328,1,"Ball, Mrs. (Ada E Hall)",36.0,0,0,28551,13.0,0,1,0,1,0,0
328,329,1,"Goldsmith, Mrs. Frank John (Emily Alice Brown)",31.0,1,1,363291,20.525,0,0,0,1,0,2
329,330,1,"Hippach, Miss. Jean Gertrude",16.0,0,1,111361,57.9792,1,0,0,0,1,1
331,332,0,"Partner, Mr. Austen",45.5,0,0,113043,28.5,1,0,1,1,0,0
333,334,0,"Vander Planke, Mr. Leo Edmondus",16.0,2,0,345764,18.0,0,0,1,1,0,2
338,339,1,"Dahl, Mr. Karl Edwart",45.0,0,0,7598,8.05,0,0,1,1,0,0
339,340,0,"Blackwell, Mr. Stephen Weart",45.0,0,0,113784,35.5,1,0,1,1,0,0
340,341,1,"Navratil, Master. Edmond Roger",2.0,1,1,230080,26.0,0,1,1,1,0,2
342,343,0,"Collander, Mr. Erik Gustaf",28.0,0,0,248740,13.0,0,1,1,1,0,0
343,344,0,"Sedgwick, Mr. Charles Frederick Waddington",25.0,0,0,244361,13.0,0,1,1,1,0,0
344,345,0,"Fox, Mr. Stanley Hubert",36.0,0,0,229236,13.0,0,1,1,1,0,0
345,346,1,"Brown, Miss. Amelia ""Mildred""",24.0,0,0,248733,13.0,0,1,0,1,0,0
346,347,1,"Smith, Miss. Marion Elsie",40.0,0,0,31418,13.0,0,1,0,1,0,0
348,349,1,"Coutts, Master. William Loch ""William""",3.0,1,1,C.A. 37671,15.9,0,0,1,1,0,2
349,350,0,"Dimic, Mr. Jovan",42.0,0,0,315088,8.6625,0,0,1,1,0,0
350,351,0,"Odahl, Mr. Nils Martin",23.0,0,0,7267,9.225,0,0,1,1,0,0
352,353,0,"Elias, Mr. Tannous",15.0,1,1,2695,7.2292,0,0,1,0,1,2
353,354,0,"Arnold-Franchi, Mr. Josef",25.0,1,0,349237,17.8,0,0,1,1,0,1
355,356,0,"Vanden Steen, Mr. Leo Peter",28.0,0,0,345783,9.5,0,0,1,1,0,0
356,357,1,"Bowerman, Miss. Elsie Edith",22.0,0,1,113505,55.0,1,0,0,1,0,1
357,358,0,"Funk, Miss. Annie Clemmer",38.0,0,0,237671,13.0,0,1,0,1,0,0
360,361,0,"Skoog, Mr. Wilhelm",40.0,1,4,347088,27.9,0,0,1,1,0,5
361,362,0,"del Carlo, Mr. Sebastiano",29.0,1,0,SC/PARIS 2167,27.7208,0,1,1,0,1,1
362,363,0,"Barbara, Mrs. (Catherine David)",45.0,0,1,2691,14.4542,0,0,0,0,1,1
363,364,0,"Asim, Mr. Adola",35.0,0,0,SOTON/O.Q. 3101310,7.05,0,0,1,1,0,0
365,366,0,"Adahl, Mr. Mauritz Nils Martin",30.0,0,0,C 7076,7.25,0,0,1,1,0,0
370,371,1,"Harder, Mr. George Achilles",25.0,1,0,11765,55.4417,1,0,1,0,1,1
371,372,0,"Wiklund, Mr. Jakob Alfred",18.0,1,0,3101267,6.4958,0,0,1,1,0,1
372,373,0,"Beavan, Mr. William Thomas",19.0,0,0,323951,8.05,0,0,1,1,0,0
374,375,0,"Palsson, Miss. Stina Viola",3.0,3,1,349909,21.075,0,0,0,1,0,4
376,377,1,"Landergren, Miss. Aurora Adelia",22.0,0,0,C 7077,7.25,0,0,0,1,0,0
